kernel,backend,family,file,status,detail
trimul_gemm_gate_triton,triton,tm1,miniworld_engine/kernels/tm1/triton/main.py,ok,launched by bench
TM2DualKernel.kernel,cute,tm2,miniworld_engine/kernels/tm2/cute/tm2_cute_kernel.py,untested,
trimul_outproj_bwd_gate_recompute_triton,triton,tm2,miniworld_engine/kernels/tm2/triton/main.py,untested,
trimul_outproj_gemm_gate_triton,triton,tm2,miniworld_engine/kernels/tm2/triton/main.py,ok,launched by bench
cast_kernel,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,untested,
swish_mul_kernel,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,untested,
transition_grad_kernel,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,untested,
SwiGLUGateBwdKernel.kernel,cute,transition,miniworld_engine/kernels/transition/cute/gatebwd_sm100.py,untested,
layernorm_bwd_foldstats_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,ok,launched by bench
layernorm_fwd_recompute_foldstats_triton,triton,transition,miniworld_engine/kernels/transition/cute/fused.py,untested,
transition_bwd_epilogue_triton,triton,transition,miniworld_engine/kernels/transition/cute/gatebwd_sm100.py,untested,
transition_bwd_swiglu_recompute_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,ok,launched by bench
transition_bwd_transpose_packed_triton,triton,transition,miniworld_engine/kernels/transition/cute/backward_gatebwd.py,untested,
transition_expand_swiglu_triton,triton,transition,miniworld_engine/kernels/transition/triton/main.py,untested,
transition_fold_triton,triton,transition,miniworld_engine/kernels/transition/triton/fold.py,ok,launched by bench
transition_fwd_b2b_ktiled_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,ok,launched by bench
transition_fwd_b2b_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,ok,launched by bench
transition_layernorm_expand_swiglu_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,untested,
triangle_attention_bwd_atomic_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/atomic.py,untested,
triangle_attention_bwd_dkdv_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/main.py,untested,
triangle_attention_bwd_dq_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/main.py,untested,
triangle_attention_bwd_pre_contig_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/atomic.py,untested,
triangle_attention_bwd_pre_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/main.py,untested,
