op,kernel,file,line,axis,accuracy,blk128,blk16,blk32,blk64,grid,mixed1,mixed2,warp4,warp8,grid_axis,loop_step,loop_extent,extent_bounded
transition_fwd_b2b_triton,_transition_b2b_kernel,miniworld_engine/kernels/transition/triton/fused.py,294,BLOCK_M1,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
transition_fwd_b2b_triton,_transition_b2b_kernel,miniworld_engine/kernels/transition/triton/fused.py,294,GROUP_M,65536,65536,65536,65536,65536,1 4 16 65536,65536,65536,65536,65536,0,0,,
transition_layernorm_expand_swiglu_triton,_transition_expand_gate_kernel,miniworld_engine/kernels/transition/triton/fused.py,99,BLOCK_K_D,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,1
transition_layernorm_expand_swiglu_triton,_transition_expand_gate_kernel,miniworld_engine/kernels/transition/triton/fused.py,99,BLOCK_K_ND,64,128,16,32,64,16 32 64,64,32,64,64,0,1,ND,1
transition_layernorm_expand_swiglu_triton,_transition_expand_gate_kernel,miniworld_engine/kernels/transition/triton/fused.py,99,BLOCK_M1,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
triangle_attention_bwd_atomic_triton,_attn_bwd,miniworld_engine/kernels/triangle_attention/triton/atomic.py,365,BLOCK_M1,64,128,16,32,64,32 64 128 256,128,16,64,64,0,0,,
triangle_attention_bwd_atomic_triton,_attn_bwd,miniworld_engine/kernels/triangle_attention/triton/atomic.py,365,BLOCK_M2,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
triangle_attention_bwd_dkdv_triton,_attn_bwd_dkdv,miniworld_engine/kernels/triangle_attention/triton/main.py,163,BLOCK_M1,64,128,16,32,64,32 64 128 256,128,16,64,64,0,1,N_CTX,1
triangle_attention_bwd_dkdv_triton,_attn_bwd_dkdv,miniworld_engine/kernels/triangle_attention/triton/main.py,163,BLOCK_M2,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
triangle_attention_bwd_dq_triton,_attn_bwd_dq,miniworld_engine/kernels/triangle_attention/triton/main.py,264,BLOCK_M1,64,128,16,32,64,32 64 128 256,128,16,64,64,1,0,,
triangle_attention_bwd_dq_triton,_attn_bwd_dq,miniworld_engine/kernels/triangle_attention/triton/main.py,264,BLOCK_M2,64,128,16,32,64,32 64 128 256,64,32,64,64,0,1,N_CTX,1
triangle_attention_bwd_pre_contig_triton,_attn_bwd_preprocess,miniworld_engine/kernels/triangle_attention/triton/atomic.py,231,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,128,16,64,64,1,0,,
triangle_attention_bwd_pre_triton,_attn_bwd_preprocess,miniworld_engine/kernels/triangle_attention/triton/main.py,113,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,128,16,64,64,1,0,,
triangle_attention_fwd_contig_triton,_attn_fwd,miniworld_engine/kernels/triangle_attention/triton/atomic.py,100,BLOCK_M1,64,128,16,32,64,32 64 128 256,128,16,64,64,1,0,,
triangle_attention_fwd_contig_triton,_attn_fwd,miniworld_engine/kernels/triangle_attention/triton/atomic.py,100,BLOCK_M2,64,128,16,32,64,32 64 128 256,64,32,64,64,0,0,,
triangle_attention_fwd_triton,_attn_fwd,miniworld_engine/kernels/triangle_attention/triton/main.py,33,BLOCK_M1,64,128,16,32,64,32 64 128 256,128,16,64,64,1,0,,
