op,kernel,file,line,axis,accuracy,blk128,blk16,blk32,blk64,grid,mixed1,mixed2,warp4,warp8,grid_axis,loop_step,loop_extent,extent_bounded
cond_transition_fwd_b2b_triton,_cond_transition_inference_kernel,miniworld_engine/kernels/conditioned_transition/triton/inference.py,73,BLOCK_K_DC,64,128,16,32,64,16 32 64,64,32,64,64,0,1,DC,1
cond_transition_fwd_b2b_triton,_cond_transition_inference_kernel,miniworld_engine/kernels/conditioned_transition/triton/inference.py,73,BLOCK_K_ND,64,128,16,32,64,16 32 64,32,64,64,64,1,1,ND,1
cond_transition_fwd_b2b_triton,_cond_transition_inference_kernel,miniworld_engine/kernels/conditioned_transition/triton/inference.py,73,BLOCK_M1,64,128,16,32,64,32 64 128 256,16,128,64,64,1,0,,
cond_transition_fwd_b2b_triton,_cond_transition_inference_kernel,miniworld_engine/kernels/conditioned_transition/triton/inference.py,73,GROUP_M,65536,65536,65536,65536,65536,1 4 16 65536,65536,65536,65536,65536,0,0,,
cond_transition_squeeze_gate_saveact_triton,_fwd_squeeze_gate_kernel,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,114,BLOCK_K_DC,64,128,16,32,64,16 32 64,128,16,64,64,0,1,DC,1
cond_transition_squeeze_gate_saveact_triton,_fwd_squeeze_gate_kernel,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,114,BLOCK_K_ND,64,128,16,32,64,16 32 64,64,32,64,64,0,1,ND,1
cond_transition_squeeze_gate_saveact_triton,_fwd_squeeze_gate_kernel,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,114,BLOCK_M1,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
cond_transition_squeeze_gate_saveact_triton,_fwd_squeeze_gate_kernel,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,114,BLOCK_N,64,128,16,32,64,32 64 128 256,16,128,64,64,1,0,,
cond_transition_squeeze_gate_saveact_triton,_fwd_squeeze_gate_kernel,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,114,GROUP_M,65536,65536,65536,65536,65536,1 4 16 65536,65536,65536,65536,65536,0,0,,
cond_transition_squeeze_gate_triton,_squeeze_gate_kernel,miniworld_engine/kernels/conditioned_transition/triton/composed.py,109,BLOCK_K_DC,64,128,16,32,64,16 32 64,128,16,64,64,0,1,DC,1
cond_transition_squeeze_gate_triton,_squeeze_gate_kernel,miniworld_engine/kernels/conditioned_transition/triton/composed.py,109,BLOCK_K_ND,64,128,16,32,64,16 32 64,64,32,64,64,0,1,ND,1
cond_transition_squeeze_gate_triton,_squeeze_gate_kernel,miniworld_engine/kernels/conditioned_transition/triton/composed.py,109,BLOCK_M1,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
cond_transition_squeeze_gate_triton,_squeeze_gate_kernel,miniworld_engine/kernels/conditioned_transition/triton/composed.py,109,BLOCK_N,64,128,16,32,64,32 64 128 256,16,128,64,64,1,0,,
cond_transition_squeeze_gate_triton,_squeeze_gate_kernel,miniworld_engine/kernels/conditioned_transition/triton/composed.py,109,GROUP_M,65536,65536,65536,65536,65536,1 4 16 65536,65536,65536,65536,65536,0,0,,
cond_transition_swiglu_triton,_swiglu_fwd_kernel,miniworld_engine/kernels/conditioned_transition/triton/training.py,75,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,1,0,,
gated_projection_bwd_dx_triton,_dgrad_epi,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,123,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,N,1
gated_projection_bwd_dx_triton,_dgrad_epi,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,123,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
gated_projection_bwd_dx_triton,_dgrad_epi,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,123,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
gated_projection_bwd_dx_triton,_dgrad_epi,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,123,GROUP_M,65536,65536,65536,65536,65536,1 4 16 65536,65536,65536,65536,65536,0,0,,
gated_projection_bwd_gate_dropres_triton,_gate_elem_bwd_ew_kernel,miniworld_engine/kernels/trimul_inproj/triton/gate_elem.py,95,BLOCK_K,64,128,16,32,64,16 32 64 128 256,128,16,64,64,0,1,N,1
gated_projection_bwd_gate_dropres_triton,_gate_elem_bwd_ew_kernel,miniworld_engine/kernels/trimul_inproj/triton/gate_elem.py,95,BLOCK_M1,64,128,16,32,64,16 32 64 128 256,64,32,64,64,1,0,,
gated_projection_bwd_gate_flat_triton,_sigmul_bwd,miniworld_engine/kernels/gated_projection/triton/main.py,238,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,0,0,,
gated_projection_bwd_gate_recompute_flat_triton,_gated_gemm_bwd_elemwise_kernel,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,519,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,1,0,,
gated_projection_bwd_gate_triton,sigmoid_gate_bwd_kernel,miniworld_engine/kernels/gated_projection/triton/main.py,77,BLOCK_K,64,128,16,32,64,16 32 64 128 256,128,16,64,64,0,1,R,1
gated_projection_bwd_gate_triton,sigmoid_gate_bwd_kernel,miniworld_engine/kernels/gated_projection/triton/main.py,77,BLOCK_M1,64,128,16,32,64,16 32 64 128 256,64,32,64,64,1,0,,
gated_projection_gate_dropres_triton,_gate_mul_kernel,miniworld_engine/kernels/trimul_inproj/triton/gate_elem.py,49,BLOCK_K,64,128,16,32,64,16 32 64 128 256,128,16,64,64,0,1,N,1
gated_projection_gate_dropres_triton,_gate_mul_kernel,miniworld_engine/kernels/trimul_inproj/triton/gate_elem.py,49,BLOCK_M1,64,128,16,32,64,16 32 64 128 256,64,32,64,64,1,0,,
gated_projection_gate_flat_triton,_sigmul_fwd,miniworld_engine/kernels/gated_projection/triton/main.py,228,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,0,0,,
gated_projection_gate_gemm_triton,_gate_out_fwd,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,61,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,DH,1
gated_projection_gate_gemm_triton,_gate_out_fwd,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,61,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
gated_projection_gate_gemm_triton,_gate_out_fwd,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,61,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
gated_projection_gate_gemm_triton,_gate_out_fwd,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,61,GROUP_M,65536,65536,65536,65536,65536,1 4 16 65536,65536,65536,65536,65536,0,0,,
gated_projection_gate_inplace_flat_triton,_gate_mul_kernel,miniworld_engine/kernels/tm1/cute/launch.py,55,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,1,0,,
gated_projection_gate_packed_flat_triton,_glu_wide_kernel,miniworld_engine/kernels/tm1/cute/launch.py,75,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,1,0,,
gated_projection_gate_triton,sigmoid_gate_fwd_kernel,miniworld_engine/kernels/gated_projection/triton/main.py,38,BLOCK_K,64,128,16,32,64,16 32 64 128 256,128,16,64,64,0,1,R,1
gated_projection_gate_triton,sigmoid_gate_fwd_kernel,miniworld_engine/kernels/gated_projection/triton/main.py,38,BLOCK_M1,64,128,16,32,64,16 32 64 128 256,64,32,64,64,1,0,,
layernorm_bwd_atomic_strided_triton,_ln_bwd_kernel,miniworld_engine/kernels/layernorm_linear/triton/te_style.py,204,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,128,16,64,64,0,0,,
