kernel,backend,family,kind,level,width,developed,dtypes,file,symbol,driver,check,rtol,arch,tuned_for
bias_only_attention_fwd_triton,triton,bias_only_attention,gemm,token,pair,no,bf16,miniworld_engine/kernels/bias_only_attention/triton/main.py,_attn_fwd,miniworld_engine.kernels.drivers.bias_only_attention:bias_only_attention_fwd_triton,miniworld_engine.kernels.checks.bias_only_attention:bias_only_attention_fwd_triton,4.1e-2,sm80,
gated_projection_bwd_dx_triton,triton,bias_only_attention,gemm,token,pair,yes,bf16,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,_dgrad_epi,miniworld_engine.kernels.drivers.bias_only_attention:gated_projection_bwd_dx_triton,miniworld_engine.kernels.checks.bias_only_attention:gated_projection_bwd_dx_triton,1.3e-2,sm80,
gated_projection_gate_gemm_triton,triton,bias_only_attention,gemm,token,pair,yes,bf16,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,_gate_out_fwd,miniworld_engine.kernels.drivers.bias_only_attention:gated_projection_gate_gemm_triton,miniworld_engine.kernels.checks.bias_only_attention:gated_projection_gate_gemm_triton,1.3e-2,sm80,
cond_transition_bwd_swiglu_flat_triton,triton,conditioned_transition,elem,atom,single,yes,fp32,miniworld_engine/kernels/conditioned_transition/triton/training.py,_swiglu_bwd_kernel,miniworld_engine.kernels.drivers.conditioned_transition:cond_transition_bwd_swiglu_flat,miniworld_engine.kernels.checks.conditioned_transition:cond_transition_bwd_swiglu_flat,5.8e-7,sm80,
cond_transition_expand_swiglu_saveact_triton,triton,conditioned_transition,gemm,atom,single,yes,fp32,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,_fwd_expand_swiglu_kernel,miniworld_engine.kernels.drivers.conditioned_transition:cond_transition_expand_swiglu_saveact,miniworld_engine.kernels.checks.conditioned_transition:cond_transition_expand_swiglu_saveact,5.8e-3,sm80,
cond_transition_expand_swiglu_triton,triton,conditioned_transition,gemm,atom,single,yes,fp32,miniworld_engine/kernels/conditioned_transition/triton/composed.py,_expand_swiglu_kernel,miniworld_engine.kernels.drivers.conditioned_transition:cond_transition_expand_swiglu,miniworld_engine.kernels.checks.conditioned_transition:cond_transition_expand_swiglu,5.8e-3,sm80,
cond_transition_fwd_b2b_saveact_triton,triton,conditioned_transition,gemm,atom,single,yes,fp32,miniworld_engine/kernels/conditioned_transition/triton/training.py,_b2b_fwd_train_kernel,miniworld_engine.kernels.drivers.conditioned_transition:cond_transition_fwd_b2b_saveact,miniworld_engine.kernels.checks.conditioned_transition:cond_transition_fwd_b2b_saveact,9.0e-3,sm80,
cond_transition_fwd_b2b_triton,triton,conditioned_transition,gemm,atom,single,yes,fp32,miniworld_engine/kernels/conditioned_transition/triton/inference.py,_cond_transition_inference_kernel,miniworld_engine.kernels.drivers.conditioned_transition:cond_transition_fwd_b2b,miniworld_engine.kernels.checks.conditioned_transition:cond_transition_fwd_b2b,9.0e-3,sm80,
cond_transition_squeeze_gate_saveact_triton,triton,conditioned_transition,gemm,atom,single,yes,fp32,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,_fwd_squeeze_gate_kernel,miniworld_engine.kernels.drivers.conditioned_transition:cond_transition_squeeze_gate_saveact,miniworld_engine.kernels.checks.conditioned_transition:cond_transition_squeeze_gate_saveact,7.8e-3,sm80,
cond_transition_squeeze_gate_triton,triton,conditioned_transition,gemm,atom,single,yes,fp32,miniworld_engine/kernels/conditioned_transition/triton/composed.py,_squeeze_gate_kernel,miniworld_engine.kernels.drivers.conditioned_transition:cond_transition_squeeze_gate,miniworld_engine.kernels.checks.conditioned_transition:cond_transition_squeeze_gate,7.8e-3,sm80,
cond_transition_swiglu_triton,triton,conditioned_transition,elem,atom,single,yes,fp32,miniworld_engine/kernels/conditioned_transition/triton/training.py,_swiglu_fwd_kernel,miniworld_engine.kernels.drivers.conditioned_transition:cond_transition_swiglu,miniworld_engine.kernels.checks.conditioned_transition:cond_transition_swiglu,3.9e-7,sm80,
layernorm_fwd_rowscale_triton,triton,fused_ln_mask,reduce,token,pair,yes,bf16,miniworld_engine/kernels/fused_ln_mask/cute/fused_ln_mask.py,_fused_ln_mask_kernel,miniworld_engine.kernels.drivers.fused_ln_mask:layernorm_fwd_rowscale_triton,miniworld_engine.kernels.checks.fused_ln_mask:layernorm_fwd_rowscale_triton,5.4e-3,sm80,
gated_projection_bwd_gate_flat_triton,triton,gated_projection,elem,both,both,yes,bf16,miniworld_engine/kernels/gated_projection/triton/main.py,_sigmul_bwd,miniworld_engine.kernels.drivers.gated_projection:gated_projection_bwd_gate_flat_triton,miniworld_engine.kernels.checks.gated_projection:gated_projection_bwd_gate_flat_triton,1.3e-2,sm80,
gated_projection_bwd_gate_triton,triton,gated_projection,elem,both,both,yes,bf16,miniworld_engine/kernels/gated_projection/triton/main.py,sigmoid_gate_bwd_kernel,miniworld_engine.kernels.drivers.gated_projection:gated_projection_bwd_gate_triton,miniworld_engine.kernels.checks.gated_projection:gated_projection_bwd_gate_triton,1.2e-2,sm80,
gated_projection_gate_flat_triton,triton,gated_projection,elem,both,both,yes,bf16,miniworld_engine/kernels/gated_projection/triton/main.py,_sigmul_fwd,miniworld_engine.kernels.drivers.gated_projection:gated_projection_gate_flat_triton,miniworld_engine.kernels.checks.gated_projection:gated_projection_gate_flat_triton,8.4e-3,sm80,
