timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%]
2026/09/19 17:00:22.453, 0, 1620 MHz, 2619 MHz, 694.76 W, 50, 100 %
2026/09/19 17:00:22.653, 0, 1635 MHz, 2619 MHz, 692.70 W, 50, 100 %
2026/09/19 17:00:22.853, 0, 1650 MHz, 2619 MHz, 692.99 W, 50, 100 %
2026/09/19 17:00:23.053, 0, 1710 MHz, 2619 MHz, 691.35 W, 51, 100 %
2026/09/19 17:00:23.253, 0, 1620 MHz, 2619 MHz, 692.72 W, 51, 100 %
2026/09/19 17:00:23.453, 0, 1680 MHz, 2619 MHz, 691.15 W, 50, 100 %
2026/09/19 17:00:23.654, 0, 1710 MHz, 2619 MHz, 691.45 W, 51, 100 %
2026/09/19 17:00:23.854, 0, 1605 MHz, 2619 MHz, 693.37 W, 51, 100 %
2026/09/19 17:00:24.054, 0, 1605 MHz, 2619 MHz, 693.17 W, 51, 100 %
2026/09/19 17:00:24.254, 0, 1650 MHz, 2619 MHz, 690.86 W, 51, 100 %
2026/09/19 17:00:24.454, 0, 1590 MHz, 2619 MHz, 692.89 W, 51, 100 %
2026/09/19 17:00:24.654, 0, 1680 MHz, 2619 MHz, 691.47 W, 51, 100 %
2026/09/19 17:00:24.854, 0, 1710 MHz, 2619 MHz, 689.84 W, 51, 100 %
2026/09/19 17:00:25.054, 0, 1620 MHz, 2619 MHz, 692.49 W, 51, 100 %
2026/09/19 17:00:25.255, 0, 1725 MHz, 2619 MHz, 689.55 W, 52, 100 %
2026/09/19 17:00:25.455, 0, 1635 MHz, 2619 MHz, 691.36 W, 51, 100 %
2026/09/19 17:00:25.655, 0, 1590 MHz, 2619 MHz, 693.01 W, 51, 100 %
2026/09/19 17:00:25.855, 0, 1635 MHz, 2619 MHz, 692.71 W, 51, 100 %
2026/09/19 17:00:26.055, 0, 1575 MHz, 2619 MHz, 690.13 W, 51, 100 %
2026/09/19 17:00:26.255, 0, 1710 MHz, 2619 MHz, 691.00 W, 52, 100 %
2026/09/19 17:00:26.455, 0, 1710 MHz, 2619 MHz, 690.83 W, 52, 100 %
2026/09/19 17:00:26.655, 0, 1620 MHz, 2619 MHz, 692.63 W, 52, 100 %
2026/09/19 17:00:26.856, 0, 1635 MHz, 2619 MHz, 693.10 W, 52, 100 %
2026/09/19 17:00:27.056, 0, 1575 MHz, 2619 MHz, 693.88 W, 52, 100 %
2026/09/19 17:00:27.256, 0, 1635 MHz, 2619 MHz, 695.38 W, 52, 100 %
2026/09/19 17:00:27.456, 0, 1725 MHz, 2619 MHz, 692.28 W, 52, 100 %
2026/09/19 17:00:27.656, 0, 1635 MHz, 2619 MHz, 694.18 W, 52, 100 %
